idCentro,Codigo,Denominacion,DesEtapaCentro,DescripcionEtapaCentro,Direccion,Localidad,CodigoPostal,Municipio,Isla,Provincia,Telefono,Fax,CorreoElectronico,SegundoCorreoElectronico,PaginaWeb,Naturaleza,TipoCentro,Titular,CentroCER,PreferenteAuditivoMotorico,ColectivoEscuelasRurales,CentroProfesores,URLWebCEP,CentroDestino,EOEP,CentroCepaAlQuePertenece,CentroAdscritoEOI,FotoCentro,DescargarMapaCentroGoogleEarth,VerMapaCentroGoogleMaps,Longitud,Latitud,DescargarZonasInfluenciaCentroGoogleEarth,Concierto,CentroProfesoresCodigo,CentroProfesoresNombre,ZonaInspeccionCodigo,ZonaInspeccionNombre,FuenteCEP,FuenteZonaInspeccion
3,35000011,CEIP JOSÉ SÁNCHEZ Y SÁNCHEZ,CEIP,Colegio de Educación Infantil y Primaria,"C/ LAUREADO GENERAL SERRA ALGARRA, 14",AGAETE,35480,AGAETE,GRAN CANARIA,Las Palmas,928-478864,,35000011@gobiernodecanarias.org,,http://www.gobiernodecanarias.org/medusa/edublog/ceipjosesanchezysanchez,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35009863 IES AGAETE PEPE DÁMASO,35702370 - E.O.E.P. GRAN CANARIA NOROESTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482501,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/3.kmz,"https://maps.google.com/maps?q=28.0976132453797,-15.6936288411883+(CEIP+JOSÉ+SÁNCHEZ+Y+SÁNCHEZ)&iwloc=A&hl=es&z=18",-15.6936288411883,28.0976132453797,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000011.geojson,Público,,,302,,,Datos Abiertos de Canarias
4,35000033,CEIP EL RISCO,CEIP,Colegio de Educación Infantil y Primaria,"EL RISCO, S/N",EL RISCO,35489,AGAETE,GRAN CANARIA,Las Palmas,928-455783,,35000033@gobiernodecanarias.org,,,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",35707712,,CER GRAN CANARIA OESTE,,,35009863 IES AGAETE PEPE DÁMASO,35702370 - E.O.E.P. GRAN CANARIA NOROESTE,,,"http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483188,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483187,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483186,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483185,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483184",https://intranet.educacion.org/educacion/centros/dircenweb/docsup/4.kmz,"https://maps.google.com/maps?q=28.051045752624,-15.7349864159618+(CEIP+EL+RISCO)&iwloc=A&hl=es&z=18",-15.7349864159618,28.051045752624,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000033.geojson,Público,,,302,,,Datos Abiertos de Canarias
5,35000045,CEIP ANA BETANCOR ESTUPIÑÁN,CEIP,Colegio de Educación Infantil y Primaria,"CAMINO LOS ROMEROS, 54",VALLE DE AGAETE,35489,AGAETE,GRAN CANARIA,Las Palmas,928-306366,,35000045@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipanabetancorestupinan/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",35702302,,CER GÁLDAR-GUÍA,,,35009863 IES AGAETE PEPE DÁMASO,35702370 - E.O.E.P. GRAN CANARIA NOROESTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/5.kmz,"https://maps.google.com/maps?q=28.0799059644895,-15.6710662584902+(CEIP+ANA+BETANCOR+ESTUPIÑÁN)&iwloc=A&hl=es&z=18",-15.6710662584902,28.0799059644895,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000045.geojson,Público,,,302,,,Datos Abiertos de Canarias
6,35000057,CEIP ROQUE AGUAYRO,CEIP,Colegio de Educación Infantil y Primaria,"C/ MÉJICO, 20",AGÜIMES,35260,AGÜIMES,GRAN CANARIA,Las Palmas,928-117563,,35000057@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceiproqueaguayro/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35000082 IES JOAQUÍN ARTILES,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/6.kmz,"https://maps.google.com/maps?q=27.9018087015986,-15.4478176010682+(CEIP+ROQUE+AGUAYRO)&iwloc=A&hl=es&z=18",-15.4478176010682,27.9018087015986,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000057.geojson,Público,,,323,,,Datos Abiertos de Canarias
7,35000082,IES JOAQUÍN ARTILES,IES,Instituto de Educación Secundaria,"AVDA. HNOS. DE LA SALLE, S/N",AGÜIMES,35260,AGÜIMES,GRAN CANARIA,Las Palmas,928-211386,,35000082@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/iesjoaquinartiles,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,"http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483183,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482184",https://intranet.educacion.org/educacion/centros/dircenweb/docsup/7.kmz,"https://maps.google.com/maps?q=27.8979715083606,-15.4448246337112+(IES+JOAQUÍN+ARTILES)&iwloc=A&hl=es&z=18",-15.4448246337112,27.8979715083606,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000082.geojson,Público,,,323,,,Datos Abiertos de Canarias
9,35000112,CEIP VEINTE DE ENERO,CEIP,Colegio de Educación Infantil y Primaria,"C/ LUIS VELASCO, 83",PLAYA DE ARINAGA,35118,AGÜIMES,GRAN CANARIA,Las Palmas,928-118283,,35000112@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipveintedeenero,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35013702 IES PLAYA DE ARINAGA,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/9.kmz,"https://maps.google.com/maps?q=27.859570515,-15.3974150519999+(CEIP+VEINTE+DE+ENERO)&iwloc=A&hl=es&z=18",-15.3974150519999,27.859570515,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000112.geojson,Público,,,323,,,Datos Abiertos de Canarias
10,35000124,CEIP MONTAÑA LOS VÉLEZ,CEIP,Colegio de Educación Infantil y Primaria,"C/ DALIA, S/N",MONTAÑA LOS VÉLEZ,35269,AGÜIMES,GRAN CANARIA,Las Palmas,928-599139,,35000124@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipmontanalosvelez/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35008391 IES CRUCE DE ARINAGA,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/10.kmz,"https://maps.google.com/maps?q=27.901290074,-15.4138465519999+(CEIP+MONTAÑA+LOS+VÉLEZ)&iwloc=A&hl=es&z=18",-15.4138465519999,27.901290074,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000124.geojson,Público,,,323,,,Datos Abiertos de Canarias
11,35000136,CEP DORAMAS,CEP,Colegio de Educación Primaria,"C/ BENTEJUÍ, S/N",CRUCE DE ARINAGA,35118,AGÜIMES,GRAN CANARIA,Las Palmas,928-180526,928-180526,35000136@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/cepdoramas,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35008391 IES CRUCE DE ARINAGA,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/11.kmz,"https://maps.google.com/maps?q=27.87806191,-15.43229859+(CEP+DORAMAS)&iwloc=A&hl=es&z=18",-15.43229859,27.87806191,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000136.geojson,Público,,,323,,,Datos Abiertos de Canarias
13,35000151,CEIP MARÍA MUÑOZ MAYOR,CEIP,Colegio de Educación Infantil y Primaria,"CTRA. GENERAL DEL SUR, S/N",LAS ROSAS,35118,AGÜIMES,GRAN CANARIA,Las Palmas,928-478907,,35000151@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipmariamunozmayor,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35008391 IES CRUCE DE ARINAGA,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/13.kmz,"https://maps.google.com/maps?q=27.8898540568959,-15.4143922484722+(CEIP+MARÍA+MUÑOZ+MAYOR)&iwloc=A&hl=es&z=18",-15.4143922484722,27.8898540568959,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000151.geojson,Público,,,323,,,Datos Abiertos de Canarias
14,35000161,CEIP TEMISAS,CEIP,Colegio de Educación Infantil y Primaria,"BDA. SAN MIGUEL, 52",TEMISAS,35270,AGÜIMES,GRAN CANARIA,Las Palmas,928-393002,,35000161@gobiernodecanarias.org,,http://www.gobiernodecanarias.org/medusa/edublog/ceiptemisas,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",35703401,,CER AGÜIMES-SAN BARTOLOMÉ,,,35000082 IES JOAQUÍN ARTILES,35702374 - E.O.E.P. INGENIO-AGÜIMES,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/14.kmz,"https://maps.google.com/maps?q=27.9097283450001,-15.5073533089999+(CEIP+TEMISAS)&iwloc=A&hl=es&z=18",-15.5073533089999,27.9097283450001,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000161.geojson,Público,,,323,,,Datos Abiertos de Canarias
