Codigo,DesEtapaCentro,Denominacion,Isla,Municipio,PaginaWeb,CentroProfesores
35700043,C.PROFES.,C.PROFES. LANZAROTE,LANZAROTE,ARRECIFE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote,SIN ASIGNAR
35700110,C.PROFES.,C.PROFES. PUERTO DEL ROSARIO,FUERTEVENTURA,PUERTO DEL ROSARIO,http://www.gobiernodecanarias.org/educacion/cep_puerto,SIN ASIGNAR
35700468,C.PROFES.,C.PROFES. LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,http://www.ceplaspalmas2.com,SIN ASIGNAR
35700471,C.PROFES.,C.PROFES. GRAN CANARIA NOROESTE,GRAN CANARIA,ARUCAS,http://www.ceparucas.com,SIN ASIGNAR
35700602,CER,CER ANTIGUA-BETANCURIA,FUERTEVENTURA,ANTIGUA,,C.PROFES. PUERTO DEL ROSARIO - 35700110
35701201,CER,CER ARUCAS,GRAN CANARIA,ARUCAS,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35702011,CER,CER FIRGAS,GRAN CANARIA,FIRGAS,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35702302,CER,CER GÁLDAR-GUÍA-AGAETE,GRAN CANARIA,GÁLDAR,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35702341,C.PROFES.,C.PROFES. GRAN CANARIA SUR,GRAN CANARIA,AGÜIMES,http://www.centrodelprofesorado.com,SIN ASIGNAR
35702368,EOEP,E.O.E.P. VALLE DE JINÁMAR,GRAN CANARIA,,,
35702370,EOEP,E.O.E.P. GRAN CANARIA NOROESTE,GRAN CANARIA,,,
35702373,EOEP,E.O.E.P. GRAN CANARIA SUR,GRAN CANARIA,,,
35702374,EOEP,E.O.E.P. INGENIO-AGÜIMES,GRAN CANARIA,,,
35702375,EOEP,E.O.E.P. LANZAROTE SUR,LANZAROTE,,,
35702376,EOEP,E.O.E.P. FUERTEVENTURA NORTE,FUERTEVENTURA,,,
35702378,EOEP,E.O.E.P. FUERTEVENTURA SUR,FUERTEVENTURA,,,
35702379,EOEP,E.O.E.P. TELDE-VALSEQUILLO,GRAN CANARIA,,,
35702381,EOEP,E.O.E.P. GRAN CANARIA NORTE,GRAN CANARIA,ARUCAS,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35702384,EOEP,E.O.E.P. GRAN CANARIA CENTRO,GRAN CANARIA,,,
35702652,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES VISUALES,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,SIN ASIGNAR
35702656,EOEP,E.O.E.P. LAS CANTERAS,GRAN CANARIA,,,
35702657,EOEP,E.O.E.P. ARENALES,GRAN CANARIA,,,
35702658,EOEP,E.O.E.P. LA VEGA DE SAN JOSÉ,GRAN CANARIA,,,
35702659,EOEP,E.O.E.P. LAS PALMAS-MILLER,GRAN CANARIA,,,
35702660,EOEP,E.O.E.P. ESCALERITAS,GRAN CANARIA,,,
35702661,EOEP,E.O.E.P. TAMARACEITE-SIETE PALMAS,GRAN CANARIA,,,
35702662,EOEP,E.O.E.P. TELDE COSTA,GRAN CANARIA,,,
35702663,EOEP,E.O.E.P. GRAN CANARIA SURESTE,GRAN CANARIA,,,
35702664,EOEP,E.O.E.P. LANZAROTE NORTE,LANZAROTE,,,
35703102,CER,CER HARÍA,LANZAROTE,HARÍA,,C.PROFES. LANZAROTE - 35700043
35703401,CER,CER INGENIO-AGÜIMES,GRAN CANARIA,AGÜIMES,,C.PROFES. GRAN CANARIA SUR - 35702341
35703435,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES AUDITIVAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,SIN ASIGNAR
35703802,CER,CER MOGÁN,GRAN CANARIA,MOGÁN,,C.PROFES. GRAN CANARIA SUR - 35702341
35703901,CER,CER MOYA,GRAN CANARIA,MOYA,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35704001,CER,CER LA OLIVA,FUERTEVENTURA,LA OLIVA,,C.PROFES. PUERTO DEL ROSARIO - 35700110
35704333,EOEP,E.O.E.P. ESPECÍFICO DE TRASTORNOS GENERALIZADOS DEL DESARROLLO,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,SIN ASIGNAR
35704334,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES MOTORAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,SIN ASIGNAR
35704335,CER,CER TAFIRA,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,C.PROFES. LAS PALMAS DE GRAN CANARIA - 35700468
35704601,CER,CER PUERTO DEL ROSARIO,FUERTEVENTURA,PUERTO DEL ROSARIO,,C.PROFES. PUERTO DEL ROSARIO - 35700110
35705303,CER,CER SAN BARTOLOMÉ DE TIRAJANA,GRAN CANARIA,SAN BARTOLOMÉ DE TIRAJANA,,C.PROFES. GRAN CANARIA SUR - 35702341
35705603,CER,CER LA ALDEA,GRAN CANARIA,LA ALDEA DE SAN NICOLÁS,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35705801,CER,CER SANTA BRÍGIDA-SAN MATEO,GRAN CANARIA,SANTA BRÍGIDA,,C.PROFES. LAS PALMAS DE GRAN CANARIA - 35700468
35707201,C.PROFES.,C.PROFES. TELDE,GRAN CANARIA,TELDE,http://www.cepdetelde.org,SIN ASIGNAR
35707202,CER,CER TELDE,GRAN CANARIA,TELDE,,C.PROFES. TELDE - 35707201
35707301,CER,CER TEROR-VALLESECO,GRAN CANARIA,TEROR,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35707601,CER,CER TINAJO-TEGUISE,LANZAROTE,SAN BARTOLOMÉ,,C.PROFES. LANZAROTE - 35700043
35707701,C.PROFES.,C.PROFES. GRAN TARAJAL,FUERTEVENTURA,TUINEJE,http://www.gobiernodecanarias.org/educacion/usr/c.profes.grantaraj,SIN ASIGNAR
35707702,CER,CER TUINEJE-PÁJARA,FUERTEVENTURA,TUINEJE,,C.PROFES. GRAN TARAJAL - 35707701
35707712,CER,CER GRAN CANARIA OESTE,GRAN CANARIA,LA ALDEA DE SAN NICOLÁS,,C.PROFES. GRAN CANARIA NOROESTE - 35700471
35707713,CER,CER LAS PALMAS-ARUCAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,,C.PROFES. LAS PALMAS DE GRAN CANARIA - 35700468
35707801,CER,CER VALSEQUILLO,GRAN CANARIA,VALSEQUILLO DE GRAN CANARIA,,C.PROFES. TELDE - 35707201
35708702,CER,CER YAIZA-TÍAS,LANZAROTE,YAIZA,,C.PROFES. LANZAROTE - 35700043
38700050,C.PROFES.,C.PROFES. LA LAGUNA,TENERIFE,SAN CRISTÓBAL DE LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna,SIN ASIGNAR
38700127,CER,CER EL PALMAR,TENERIFE,BUENAVISTA DEL NORTE,,
38700135,CER,CER TIJARAFE,LA PALMA,TIJARAFE,,
38700136,CER,CER GARAFIA,LA PALMA,GARAFÍA,,
38700138,CER,CER LA GOMERA,LA GOMERA,VALLEHERMOSO,,
38700139,CER,CER EL HIERRO,EL HIERRO,VALVERDE,,C.PROFES. EL HIERRO - 38700140
