Codigo,Isla,Municipio,CentroProfesoresCodigo,CentroProfesoresNombre,URLWebCEP
35005304,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35008691,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35009097,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35009127,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35009590,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35010592,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35014068,GRAN CANARIA,SANTA LUCÍA DE TIRAJANA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
35810102,FUERTEVENTURA,PUERTO DEL ROSARIO,35707701,C.PROFES. GRAN TARAJAL,http://www.gobiernodecanarias.org/educacion/usr/c.profes.grantaraj
38002818,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38004414,TENERIFE,EL ROSARIO,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
38004438,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38004441,TENERIFE,EL ROSARIO,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
38005157,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38006368,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38006381,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38006393,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38006824,TENERIFE,TACORONTE,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
38009370,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38009503,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38009591,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38011637,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38015138,TENERIFE,SANTA CRUZ DE TENERIFE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
38703701,TENERIFE,SANTA ÚRSULA,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
