Codigo,DesEtapaCentro,Denominacion,Direccion,Localidad,CodigoPostal,Municipio,Isla,Provincia,Telefono,Fax,CorreoElectronico,PaginaWeb,Naturaleza,TipoCentro,Concierto,Longitud,Latitud,CentroDestino,CentroCepaAlQuePertenece,EOEP,CentroCER,ZonaInspeccionCodigo
35015051,CPEI,CPEI MAFALDA,"CTRA. GRAL. DEL NORTE KM. 4,1 - LOS TARAHALES",LAS PALMAS DE GRAN CANARIA,35010,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-410375,,escuelainfantilmaphalda@gmail.com,,Privado,Docente,Sin niveles concertados,-15.4517883149999,28.0969659950001,,,,,315
35015681,CPDEM,CPDEM SHAKESPEARE BRITISH SCHOOL,"C/ SOROLLA, 3 - MONTAÑA LAS HUESAS",TELDE,35215,TELDE,GRAN CANARIA,Las Palmas,928-684290 y 630-136349,,contacto@shakespeareschool.es,,Privado,Docente,Sin niveles concertados,-15.394644,27.980037,,,,,
35015784,CEL,CEL DE CANARIAS,"C/ MÁLAGA, 46",,35016,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-306355,,35015784@gobiernodecanarias.org,http://www.gobiernodecanarias.org/medusa/edublog/auladeensenanzaenlinea/inicio,Público,Docente,Público,-15.41783041,28.08748634,,,,,306
35015981,CPEI,CPEI BEE HAPPY CENTRE,"C/ TORRES, 3",,35002,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-918281 y 696-547661,,beehappycentre@gmail.com,,Privado,Docente,Sin niveles concertados,-15.415797,28.104863,,,,,308
35016089,EEI,EEI FRAGUEL ROCK,"C/ VICTORIANO GUEDES ARTILES, S/N",,35107,SAN BARTOLOMÉ DE TIRAJANA,GRAN CANARIA,Las Palmas,,,,,Público,Docente,Público,,,,,,,326
35016090,EEI,EEI LOS DIMINUTOS,"C/ MANUEL PESTANA QUINTERO, S/N",,35109,SAN BARTOLOMÉ DE TIRAJANA,GRAN CANARIA,Las Palmas,,,,,Público,Docente,Público,,,,,,,328
35016107,EEI,EEI LOS PEQUEÑECOS,"C/ TUNTE, 2",,35100,SAN BARTOLOMÉ DE TIRAJANA,GRAN CANARIA,Las Palmas,,,,,Público,Docente,Público,,,,,,,327
35610100,UAPA,UAPA ANTIGUA,"CTRA. TRIQUIVIJATE, 18 (CEO ANTIGUA)",,35610,ANTIGUA,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-14.01119311,28.41951612,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610107,UAPA,UAPA PUERTO DEL ROSARIO,"C/ PROFESOR JUAN TADEO CABRERA, 1 (CENTRO DE LA 3ª EDAD)",,35600,PUERTO DEL ROSARIO,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-13.86027203,28.49757708,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610108,UAPA,UAPA CORRALEJO (IES),"C/ FRANCISCO NAVARRO ARTILES, 14",,35660,LA OLIVA,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-13.87374912,28.73739088,,35008007 - CEPA FUERTEVENTURA NORTE,,,
